company_id,equity_capital,reserves,borrowings,total_assets,pros,cons,confidence,rating
ABB,21.0,3500,60,5063,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base,Weak Asset Position,85,Good
ITC,1251.0,74015,304,94071,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
ONGC,6290.0,345986,191489,757614,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
NTPC,9697.0,158575,242009,492230,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
NHPC,10045.0,30104,34210,97681,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
NESTLEIND,96.0,3894,370,11108,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
NAUKRI,129.0,41659,256,50186,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
MOTHERSON,704.0,31930,25417,97879,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
MARUTI,157.0,88969,158,121696,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
M&M,558.0,69944,116844,255280,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
LTIM,30.0,21045,2326,28761,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
LT,30.0,21045,2326,28761,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
LODHA,995.0,17189,7990,47385,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
LICI,6325.0,91312,10,5719121,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
KOTAKBANK,994.0,128978,520374,767667,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
JSWSTEEL,305.0,79361,95258,233168,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
JSWENERGY,1745.0,26226,30853,64932,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
JIOFIN,6353.0,130791,0,144222,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
JINDALSTEL,101.0,47240,17266,82771,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
PFC,3300.0,106746,910447,1103361,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
PIDILITIND,51.0,8664,379,12755,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
PNB,260.0,14673,55017,72371,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
POWERGRID,9301.0,82760,122568,255297,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
RECLTD,2633.0,70877,483617,595227,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
RELIANCE,6766.0,812687,357525,1815123,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
SBILIFE,1002.0,15257,0,448497,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
ZYDUSLIFE,101.0,21724,190,31446,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
SHREECEM,36.0,20843,1682,27859,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
ZOMATO,872.0,20446,1159,25205,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
WIPRO,1046.0,80330,19282,125552,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
VEDL,391.0,37097,79808,205175,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
SHRIRAMFIN,376.0,52016,207820,275087,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
SIEMENS,71.0,15286,279,25299,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
UNITDSPR,145.0,7487,518,11955,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
UNIONBANK,7634.0,89964,1251568,1401996,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
SUNPHARMA,240.0,68875,2572,88116,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
ULTRACEMCO,289.0,61076,16964,107611,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
TVSMOTOR,48.0,7712,14619,44946,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
TRENT,36.0,4644,1842,8274,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
TORNTPHARM,169.0,7335,3128,15088,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
TITAN,89.0,9647,21648,38826,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
TECHM,442.0,26004,2035,42827,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
TATACONSUM,99.0,19033,2955,30970,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
TCS,362.0,101133,9046,161124,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
TATASTEEL,1247.0,88900,99392,280841,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
TATAPOWER,320.0,33360,58314,145130,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
TATAMOTORS,736.0,100326,106549,390656,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
